"Orden correcto, correcta indentacón, Uso correcto de variables","Declaración y usos tanto con operadores '.' y  '->'","Introducción /presentación/selección","Uso de argv como cadena y limitación del argc","Invocación y cuerpo","Invocación y cuerpo",""
"Claridad en la estructura del programa/variables/comentarios","Estructuras","Enum y typedef","argc/argv","Funciones leeLinea e presentarVideojuegos","Función introducirVideojuego y seleccionarVidejuegos","Compilación/ Ejecución correcta"
1,1,1,2,1,3,1
